Range	Drop (inches)	Velocity	Energy	Wind drift (inches)	Time (milliseconds)
0	0.0041	2700	2913	0.0000	0
50	0.6220	2655	2817	0.0000	56
100	0.0068	2611	2724	0.0000	113
150	-1.8835	2567	2633	0.0000	171
200	-5.0930	2524	2546	0.0000	230
250	-9.6673	2481	2460	0.0000	290
300	-15.6544	2438	2375	0.0000	351
350	-23.1041	2396	2294	0.0000	413
400	-32.0684	2354	2214	0.0000	476
450	-42.6017	2312	2136	0.0000	541
500	-54.7609	2271	2061	0.0000	606
